PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,year,year_str
Drew Gooden,ORL,70,26.8,12.5,5.1,11.1,45.7,0.2,0.7,29.2,2.2,3.0,71.2,2.3,4.2,6.5,1.2,0.8,0.5,2.1,12.4,2002-01-01,2002
Nick Van Exel,DAL,73,27.8,12.5,4.7,11.4,41.2,1.6,4.3,37.8,1.5,2.0,76.4,0.5,2.4,2.8,4.3,0.6,0.1,1.7,11.4,2002-01-01,2002
Gordan Giricek,ORL,76,28.3,12.3,4.6,10.6,43.6,1.1,3.3,34.1,2.0,2.4,82.0,0.5,2.7,3.1,1.8,0.7,0.1,1.9,9.7,2002-01-01,2002
Clifford Robinson,DET,81,34.9,12.2,4.6,11.5,39.8,1.1,3.2,33.6,2.0,2.9,67.6,1.0,2.9,3.9,3.3,1.1,1.1,2.0,11.8,2002-01-01,2002
Al Harrington,IND,82,30.1,12.2,4.7,10.9,43.4,0.2,0.6,28.3,2.6,3.3,77.0,1.9,4.3,6.2,1.5,0.9,0.4,2.0,12.3,2002-01-01,2002
Jason Williams,MEM,76,31.7,12.1,4.4,11.3,38.8,1.9,5.3,35.4,1.4,1.7,84.0,0.3,2.5,2.8,8.3,1.2,0.1,2.2,15.1,2002-01-01,2002
Andrei Kirilenko,UTA,80,27.7,12.0,3.9,8.0,49.1,0.5,1.4,32.5,3.7,4.6,80.0,1.8,3.4,5.3,1.7,1.5,2.2,1.7,16.0,2002-01-01,2002
Corliss Williamson,DET,82,25.1,12.0,4.6,10.1,45.3,0.0,0.1,18.2,2.9,3.7,79.0,1.8,2.6,4.4,1.3,0.5,0.3,1.5,10.7,2002-01-01,2002
Stephen Jackson,SAS,80,28.2,11.8,4.5,10.2,43.5,1.2,3.7,32.0,1.7,2.3,76.0,0.8,2.8,3.6,2.3,1.6,0.4,2.2,11.1,2002-01-01,2002
Troy Murphy,GSW,79,31.8,11.7,4.3,9.5,45.1,0.0,0.2,21.4,3.1,3.7,84.1,2.9,7.3,10.2,1.3,0.8,0.4,1.4,17.2,2002-01-01,2002
Lorenzen Wright,MEM,70,28.3,11.4,4.6,10.2,45.4,0.0,0.1,0.0,2.1,3.2,65.9,2.4,5.1,7.5,1.1,0.7,0.8,1.6,13.3,2002-01-01,2002
Rasho Nesterovic,MIN,77,30.4,11.2,5.2,9.9,52.5,0.0,0.0,0.0,0.8,1.2,64.2,1.9,4.6,6.5,1.5,0.5,1.5,1.3,14.8,2002-01-01,2002
John Stockton,UTA,82,27.7,10.8,3.8,7.8,48.3,0.4,1.0,36.3,2.9,3.5,82.6,0.6,1.8,2.5,7.7,1.7,0.2,2.2,15.9,2002-01-01,2002
James Posey,HOU,83,30.3,10.8,3.7,9.1,41.1,0.8,2.8,30.6,2.5,3.0,83.3,1.1,4.0,5.1,2.2,1.3,0.2,1.7,12.0,2002-01-01,2002
Jamal Crawford,CHI,80,24.9,10.7,4.2,10.1,41.3,1.1,3.0,35.5,1.3,1.6,80.6,0.3,2.1,2.3,4.2,1.0,0.3,1.7,10.6,2002-01-01,2002
Pat Garrity,ORL,81,31.9,10.7,3.9,9.2,41.9,2.0,5.0,39.6,1.0,1.2,83.0,0.9,2.9,3.8,1.5,0.8,0.2,1.0,10.5,2002-01-01,2002
P.J. Brown,NOH,78,33.4,10.7,4.1,7.7,53.1,0.0,0.0,0.0,2.5,3.0,83.6,3.1,5.9,9.0,1.9,0.9,1.0,1.3,18.1,2002-01-01,2002
Derek Fisher,LAL,82,34.5,10.5,4.1,9.5,43.7,1.0,2.6,40.1,1.2,1.5,80.0,0.5,2.4,2.9,3.6,1.1,0.2,1.1,11.6,2002-01-01,2002
Nene,DEN,80,28.2,10.5,4.0,7.7,51.9,0.0,0.0,0.0,2.5,4.3,57.8,2.6,3.5,6.1,1.9,1.6,0.8,2.3,13.1,2002-01-01,2002
Eddy Curry,CHI,81,19.4,10.5,4.1,7.1,58.5,0.0,0.0,0.0,2.2,3.5,62.4,1.4,2.9,4.4,0.5,0.2,0.8,1.7,10.3,2002-01-01,2002
Malik Rose,SAS,79,24.5,10.4,3.7,8.0,45.9,0.0,0.1,40.0,3.1,3.9,79.1,1.9,4.5,6.4,1.6,0.7,0.5,2.2,12.3,2002-01-01,2002
Lucious Harris,NJN,77,25.6,10.3,3.9,9.4,41.3,0.6,1.8,34.6,2.0,2.5,80.4,0.8,2.2,3.0,2.0,0.7,0.1,0.9,9.2,2002-01-01,2002
Brent Barry,SEA,75,33.1,10.3,3.5,7.7,45.8,1.6,3.9,40.3,1.7,2.1,79.5,0.6,3.4,4.0,5.1,1.5,0.2,1.9,14.7,2002-01-01,2002
Brian Grant,MIA,82,32.2,10.3,4.2,8.2,50.9,0.0,0.0,0.0,1.9,2.5,77.1,2.9,7.3,10.2,1.3,0.8,0.6,1.6,16.9,2002-01-01,2002
Jamaal Magloire,NOH,82,29.8,10.3,3.7,7.7,48.0,0.0,0.0,0.0,2.8,3.9,71.7,3.2,5.7,8.8,1.1,0.6,1.4,1.9,15.0,2002-01-01,2002
Vladimir Radmanovic,SEA,72,26.5,10.1,3.8,9.3,41.0,1.4,4.1,35.5,1.0,1.4,70.6,1.1,3.4,4.5,1.3,0.9,0.3,1.4,9.8,2002-01-01,2002
Carlos Boozer,CLE,81,25.3,10.0,4.1,7.6,53.6,0.0,0.0,0.0,1.8,2.4,77.1,2.5,5.0,7.5,1.3,0.7,0.6,1.3,14.8,2002-01-01,2002
Vlade Divac,SAC,80,29.8,9.9,3.8,8.2,46.6,0.1,0.3,24.0,2.2,3.1,71.3,2.0,5.2,7.2,3.4,1.0,1.3,1.9,15.7,2002-01-01,2002
Jumaine Jones,CLE,80,27.6,9.8,3.9,8.9,43.4,1.4,3.9,35.4,0.7,1.0,68.7,1.3,3.7,5.1,1.4,0.8,0.3,1.3,10.7,2002-01-01,2002
Joe Johnson,PHX,82,27.5,9.8,3.9,9.7,39.7,0.9,2.5,36.6,1.2,1.5,77.4,0.7,2.5,3.2,2.6,0.8,0.2,1.3,9.0,2002-01-01,2002
Jerome Williams,TOR,71,33.0,9.7,3.8,7.5,49.9,0.0,0.1,16.7,2.2,4.0,55.5,3.3,5.9,9.2,1.3,1.6,0.4,1.4,15.3,2002-01-01,2002
Dion Glover,ATL,76,24.9,9.7,3.6,8.5,42.7,0.7,2.1,35.4,1.7,2.1,78.4,0.8,2.9,3.7,1.9,0.9,0.2,1.4,9.6,2002-01-01,2002
Shane Battier,MEM,78,30.6,9.7,3.5,7.3,48.3,1.1,2.8,39.8,1.5,1.9,82.8,1.6,2.8,4.4,1.3,1.3,1.1,0.9,12.9,2002-01-01,2002
Malik Allen,MIA,80,29.0,9.6,4.2,9.9,42.4,0.0,0.1,0.0,1.2,1.5,80.2,1.7,3.6,5.3,0.7,0.5,1.0,1.6,9.4,2002-01-01,2002
Jay Williams,CHI,75,26.1,9.5,3.6,9.1,39.9,0.9,2.7,32.2,1.4,2.1,64.0,0.4,2.2,2.6,4.7,1.1,0.2,2.3,9.6,2002-01-01,2002
Predrag Drobnjak,SEA,82,24.2,9.4,4.0,9.6,41.2,0.4,1.0,35.3,1.1,1.4,79.1,1.4,2.5,3.9,1.0,0.6,0.5,0.8,8.7,2002-01-01,2002
Darrell Armstrong,ORL,82,28.7,9.4,3.2,7.8,40.9,1.0,2.8,33.6,2.0,2.3,87.8,1.1,2.5,3.6,3.9,1.6,0.2,2.0,11.9,2002-01-01,2002
Doug Christie,SAC,80,33.9,9.4,3.3,7.0,47.9,0.9,2.3,39.5,1.8,2.2,81.0,0.8,3.5,4.3,4.7,2.3,0.5,1.8,15.2,2002-01-01,2002
Tyson Chandler,CHI,75,24.4,9.2,3.4,6.5,53.1,0.0,0.0,0.0,2.4,3.9,60.8,2.3,4.6,6.9,1.0,0.5,1.4,1.8,12.6,2002-01-01,2002
Eric Williams,BOS,82,28.7,9.1,3.1,7.0,44.2,0.5,1.3,33.6,2.5,3.3,75.0,1.7,2.9,4.7,1.7,1.0,0.2,1.2,10.8,2002-01-01,2002
Howard Eisley,NYK,82,27.4,9.1,3.2,7.7,41.7,1.6,4.1,38.9,1.1,1.3,84.8,0.3,2.0,2.3,5.4,0.9,0.1,1.8,11.3,2002-01-01,2002
Rodney White,DEN,72,21.7,9.0,3.6,8.9,40.8,0.4,1.9,23.9,1.4,1.7,78.4,0.6,2.4,3.0,1.7,0.6,0.4,2.2,6.9,2002-01-01,2002
Aaron McKie,PHI,80,29.7,9.0,3.6,8.3,42.9,0.5,1.4,33.0,1.4,1.7,83.6,0.8,3.6,4.4,3.5,1.6,0.1,1.4,12.2,2002-01-01,2002
Rick Fox,LAL,76,28.7,9.0,3.4,8.2,42.2,1.4,3.7,37.5,0.7,0.9,75.4,0.8,3.4,4.3,3.3,0.9,0.2,1.6,11.1,2002-01-01,2002
Theo Ratliff,ATL,81,31.1,8.7,3.4,7.3,46.4,0.0,0.0,0.0,1.9,2.6,72.0,1.9,5.6,7.5,0.9,0.7,3.2,1.7,14.7,2002-01-01,2002
Kendall Gill,MIN,82,25.2,8.7,3.5,8.3,42.2,0.2,0.7,32.2,1.5,2.0,76.4,0.6,2.4,3.0,1.9,1.0,0.2,1.3,8.2,2002-01-01,2002
Calbert Cheaney,UTA,81,29.0,8.6,4.0,8.0,49.9,0.1,0.3,40.0,0.5,0.9,58.0,0.9,2.6,3.5,2.0,0.8,0.2,1.3,9.4,2002-01-01,2002
Tyronn Lue,WAS,75,26.5,8.6,3.3,7.6,43.3,0.8,2.3,34.1,1.2,1.4,87.5,0.3,1.7,2.0,3.5,0.6,0.0,1.0,9.2,2002-01-01,2002
Eddie Griffin,HOU,77,24.5,8.6,3.5,8.8,40.0,0.8,2.5,33.3,0.8,1.2,61.7,1.8,4.2,6.0,1.1,0.7,1.4,1.0,11.1,2002-01-01,2002
Zach Randolph,POR,77,16.9,8.4,3.4,6.7,51.3,0.0,0.1,0.0,1.6,2.1,75.8,1.8,2.6,4.5,0.5,0.5,0.2,0.8,9.6,2002-01-01,2002
Shandon Anderson,NYK,82,21.1,8.4,3.0,6.5,46.2,0.6,1.7,37.1,1.7,2.3,73.2,0.8,2.3,3.1,1.1,0.9,0.2,1.4,8.1,2002-01-01,2002
Travis Best,MIA,72,25.1,8.4,3.2,8.1,39.6,0.5,1.5,33.0,1.5,1.7,85.4,0.4,1.7,2.0,3.5,0.6,0.1,1.5,8.1,2002-01-01,2002
Ruben Patterson,POR,78,21.2,8.3,3.3,6.6,49.2,0.0,0.3,15.0,1.8,2.8,62.7,1.5,1.8,3.4,1.3,0.9,0.4,1.5,8.4,2002-01-01,2002
Christian Laettner,WAS,76,29.1,8.3,3.4,6.8,49.4,0.0,0.2,12.5,1.6,1.9,83.3,1.5,5.1,6.6,3.1,1.1,0.5,1.1,14.7,2002-01-01,2002
Erick Dampier,GSW,82,24.1,8.2,3.2,6.4,49.6,0.0,0.0,0.0,1.9,2.7,69.8,3.0,3.6,6.6,0.7,0.3,1.9,1.4,12.4,2002-01-01,2002
Shammond Williams,DEN,78,24.1,8.0,2.9,7.4,39.4,1.2,3.3,35.6,1.0,1.3,76.5,0.3,1.9,2.2,3.4,1.0,0.1,1.5,8.4,2002-01-01,2002
Donnell Harvey,DEN,77,20.9,7.9,3.2,7.2,44.6,0.0,0.1,14.3,1.5,2.3,67.0,1.6,3.7,5.3,1.3,0.6,0.4,1.6,9.2,2002-01-01,2002
Mike James,MIA,78,22.1,7.8,2.8,7.5,37.3,0.9,2.9,29.4,1.3,1.8,73.2,0.3,1.6,1.9,3.2,0.8,0.1,1.4,7.2,2002-01-01,2002
Jamaal Tinsley,IND,73,30.6,7.8,3.0,7.6,39.6,0.6,2.3,27.7,1.1,1.5,71.4,0.8,2.8,3.6,7.5,1.7,0.2,2.6,13.1,2002-01-01,2002
Othella Harrington,NYK,74,25.0,7.7,3.0,6.0,50.8,0.0,0.0,0.0,1.7,2.0,82.0,2.2,4.2,6.4,0.8,0.2,0.3,1.2,11.0,2002-01-01,2002
Ira Newble,ATL,73,26.5,7.7,3.2,6.4,49.5,0.4,1.2,38.1,1.0,1.2,77.8,1.2,2.5,3.7,1.4,0.7,0.4,0.9,9.4,2002-01-01,2002
Ron Mercer,IND,72,23.2,7.7,3.4,8.3,40.9,0.0,0.2,18.8,0.9,1.1,80.2,0.4,1.7,2.1,1.6,0.7,0.2,0.8,6.4,2002-01-01,2002
Anthony Peeler,MIN,82,27.4,7.7,3.1,7.4,41.4,1.1,2.6,41.0,0.5,0.6,78.0,0.5,2.5,2.9,3.0,0.9,0.2,1.0,9.1,2002-01-01,2002
Rasual Butler,MIA,72,21.0,7.5,2.9,7.9,36.2,0.7,2.4,29.2,1.1,1.4,73.1,0.4,2.2,2.6,1.3,0.3,0.6,1.1,5.7,2002-01-01,2002
Dale Davis,POR,78,29.3,7.4,3.0,5.6,54.1,0.0,0.0,0.0,1.3,2.1,63.3,3.0,4.2,7.2,1.2,0.7,0.9,0.9,13.1,2002-01-01,2002
Kwame Brown,WAS,80,22.2,7.4,2.8,6.3,44.6,0.0,0.0,0.0,1.8,2.7,66.8,1.6,3.7,5.3,0.7,0.6,1.0,1.4,9.3,2002-01-01,2002
Bruce Bowen,SAS,82,31.3,7.1,2.7,5.8,46.6,1.2,2.8,44.1,0.4,1.1,40.4,0.7,2.2,2.9,1.4,0.8,0.5,0.9,8.1,2002-01-01,2002
Jon Barry,DET,80,18.4,6.9,2.4,5.3,45.0,1.1,2.7,40.7,1.1,1.3,86.0,0.4,1.8,2.3,2.6,0.8,0.2,1.0,8.6,2002-01-01,2002
Ben Wallace,DET,73,39.4,6.9,2.9,6.0,48.1,0.0,0.1,16.7,1.2,2.6,45.0,4.0,11.4,15.4,1.6,1.4,3.2,1.2,22.8,2002-01-01,2002
Devean George,LAL,71,22.7,6.9,2.5,6.5,39.0,0.7,1.9,37.1,1.2,1.5,79.0,1.3,2.7,4.0,1.3,0.8,0.5,0.9,8.4,2002-01-01,2002
Mehmet Okur,DET,72,19.0,6.9,2.5,5.9,42.6,0.5,1.6,33.9,1.3,1.8,73.3,1.6,3.0,4.7,1.0,0.3,0.5,0.9,8.6,2002-01-01,2002
Shawn Kemp,ORL,79,20.7,6.8,2.7,6.4,41.8,0.0,0.0,0.0,1.5,2.0,74.2,1.9,3.8,5.7,0.7,0.8,0.4,1.3,8.9,2002-01-01,2002
Shawn Bradley,DAL,81,21.4,6.7,2.5,4.6,53.6,0.0,0.0,0.0,1.7,2.2,80.6,1.9,4.0,5.9,0.7,0.8,2.1,0.8,12.8,2002-01-01,2002
Keon Clark,SAC,80,22.3,6.7,2.8,5.6,50.1,0.0,0.1,0.0,1.1,1.6,65.6,1.7,3.9,5.6,1.0,0.5,1.9,1.2,11.2,2002-01-01,2002
Clar. Weatherspoon,NYK,79,25.6,6.6,2.4,5.2,44.9,0.0,0.0,0.0,1.9,2.5,76.8,2.7,4.9,7.6,0.9,0.9,0.5,0.8,12.1,2002-01-01,2002
Robert Horry,LAL,80,29.3,6.5,2.3,6.0,38.7,0.6,2.2,28.8,1.3,1.7,76.9,2.3,4.2,6.4,2.9,1.2,0.8,1.4,12.4,2002-01-01,2002
Kevin Ollie,SEA,82,23.1,6.5,2.4,5.4,45.1,0.0,0.1,33.3,1.6,2.2,75.3,0.3,1.9,2.2,3.5,0.8,0.1,0.9,8.8,2002-01-01,2002
Erick Strickland,IND,71,18.0,6.5,2.3,5.4,42.9,0.9,2.3,38.8,1.0,1.2,80.5,0.3,1.7,2.0,2.9,0.5,0.1,1.4,7.4,2002-01-01,2002
Mike Batiste,MEM,75,16.6,6.4,2.6,6.2,42.2,0.2,1.1,22.2,0.9,1.2,78.4,1.1,2.3,3.4,0.7,0.6,0.2,0.9,6.5,2002-01-01,2002
Brendan Haywood,WAS,81,23.8,6.2,2.1,4.2,51.0,0.0,0.0,0.0,1.9,3.0,63.3,2.4,2.6,5.0,0.4,0.4,1.5,0.8,9.4,2002-01-01,2002
Aaron Williams,NJN,81,19.7,6.2,2.5,5.4,45.3,0.0,0.0,0.0,1.3,1.6,78.5,1.7,2.4,4.1,1.1,0.3,0.7,1.0,8.0,2002-01-01,2002
Arvydas Sabonis,POR,78,15.5,6.1,2.2,4.6,47.6,0.0,0.1,50.0,1.7,2.1,78.7,1.1,3.2,4.3,1.8,0.8,0.6,1.0,9.8,2002-01-01,2002
Walter McCarty,BOS,82,23.8,6.1,2.1,5.1,41.4,1.1,3.0,36.7,0.7,1.2,62.2,0.8,2.7,3.5,1.3,1.0,0.3,0.8,7.9,2002-01-01,2002
Greg Buckner,PHI,75,20.2,6.0,2.5,5.3,46.5,0.2,0.7,27.3,0.9,1.1,80.2,1.0,1.9,2.9,1.3,1.0,0.2,0.8,7.5,2002-01-01,2002
Brian Skinner,PHI,77,17.9,6.0,2.4,4.3,55.0,0.0,0.0,0.0,1.3,2.1,60.2,1.8,3.0,4.8,0.2,0.6,0.7,0.8,8.7,2002-01-01,2002
Gary Trent,MIN,80,15.3,6.0,2.6,4.9,53.5,0.0,0.0,0.0,0.8,1.3,59.4,1.3,2.3,3.6,1.0,0.4,0.3,0.7,7.7,2002-01-01,2002
Jacque Vaughn,ORL,80,21.1,5.9,2.3,5.1,44.8,0.1,0.4,23.5,1.2,1.6,77.6,0.3,1.2,1.5,2.9,0.8,0.0,1.2,6.7,2002-01-01,2002
Jeff McInnis,POR,75,17.5,5.8,2.5,5.6,44.4,0.1,0.5,17.1,0.7,0.9,74.6,0.3,1.0,1.3,2.3,0.3,0.0,1.0,5.3,2002-01-01,2002
Mike Dunleavy,GSW,82,15.9,5.7,2.0,5.1,40.3,0.6,1.8,34.7,1.0,1.2,78.0,0.8,1.8,2.6,1.3,0.6,0.2,1.0,6.1,2002-01-01,2002
Scott Padgett,UTA,82,16.1,5.7,2.1,5.2,40.2,0.5,1.6,33.8,1.0,1.3,75.7,1.0,2.3,3.3,1.0,0.5,0.3,0.9,6.6,2002-01-01,2002
Jason Collins,NJN,81,23.5,5.7,1.7,4.2,41.4,0.0,0.0,0.0,2.2,2.9,76.3,1.7,2.9,4.5,1.1,0.6,0.5,1.0,8.2,2002-01-01,2002
Vladimir Stepania,MIA,79,20.2,5.6,2.3,5.4,43.3,0.0,0.0,0.0,0.9,1.7,53.0,2.7,4.3,7.0,0.3,0.6,0.5,0.9,9.2,2002-01-01,2002
Earl Watson,MEM,79,17.3,5.5,2.2,4.9,43.5,0.4,1.2,34.1,0.8,1.1,72.1,0.6,1.5,2.1,2.8,1.1,0.2,1.1,7.5,2002-01-01,2002
Marc Jackson,MIN,77,13.5,5.5,2.0,4.5,43.8,0.0,0.0,100.0,1.5,1.9,76.5,1.1,1.8,2.9,0.5,0.3,0.4,0.8,5.8,2002-01-01,2002
Greg Ostertag,UTA,81,23.8,5.4,2.1,4.0,51.8,0.0,0.0,0.0,1.2,2.4,51.0,2.2,4.0,6.2,0.7,0.2,1.8,1.3,10.0,2002-01-01,2002
Adonal Foyle,GSW,82,21.8,5.4,2.3,4.2,53.6,0.0,0.0,0.0,0.9,1.3,67.3,2.1,3.8,6.0,0.5,0.5,2.5,0.9,11.5,2002-01-01,2002
Casey Jacobsen,PHX,72,15.9,5.1,1.7,4.5,37.3,0.7,2.3,31.5,1.0,1.5,68.6,0.4,0.8,1.2,1.0,0.5,0.1,0.8,3.8,2002-01-01,2002
Junior Harrington,DEN,82,24.4,5.1,2.1,5.7,36.2,0.1,0.3,25.0,0.9,1.4,65.2,0.5,2.5,3.0,3.4,1.0,0.2,1.9,6.7,2002-01-01,2002
Milt Palacio,CLE,80,24.7,5.0,2.0,4.9,41.8,0.1,0.5,21.6,0.8,1.1,74.7,0.6,2.3,2.9,3.2,0.9,0.2,1.6,7.5,2002-01-01,2002
Mark Blount,BOS,81,17.3,5.0,1.9,4.3,43.2,0.0,0.0,0.0,1.2,1.7,72.7,1.4,2.4,3.8,0.7,0.5,0.8,1.3,6.6,2002-01-01,2002
Alan Henderson,ATL,82,18.2,4.8,1.9,4.0,46.8,0.0,0.0,0.0,1.1,1.7,63.8,1.9,3.0,4.9,0.5,0.4,0.4,0.7,7.5,2002-01-01,2002
Andrew DeClercq,ORL,77,17.2,4.7,1.9,3.6,53.4,0.0,0.0,0.0,0.9,1.4,64.4,1.8,2.6,4.4,0.7,0.5,0.5,1.1,7.5,2002-01-01,2002
Bo Outlaw,PHX,80,22.5,4.7,1.9,3.5,55.0,0.0,0.0,0.0,0.9,1.5,62.1,1.7,2.9,4.6,1.4,0.6,0.9,1.0,9.2,2002-01-01,2002
Mark Jackson,UTA,82,17.9,4.7,1.8,4.5,39.8,0.3,1.2,28.4,0.7,1.0,76.3,0.4,1.7,2.1,4.6,0.6,0.0,1.9,7.2,2002-01-01,2002
Kelvin Cato,HOU,73,17.1,4.5,1.8,3.5,52.0,0.0,0.1,0.0,0.9,1.7,53.2,1.8,4.1,5.9,0.3,0.5,1.2,0.8,9.1,2002-01-01,2002
Bryon Russell,WAS,70,19.8,4.5,1.5,4.4,35.3,0.7,2.0,32.9,0.8,1.0,76.8,0.6,2.4,3.0,1.0,1.0,0.1,0.8,5.8,2002-01-01,2002
George Lynch,NOH,81,18.5,4.5,1.8,4.4,40.9,0.3,1.0,35.4,0.5,0.9,55.4,1.7,2.6,4.4,1.3,0.8,0.2,0.6,7.5,2002-01-01,2002
Adrian Griffin,DAL,74,18.6,4.4,2.0,4.6,43.3,0.1,0.3,25.0,0.4,0.4,84.4,1.2,2.4,3.6,1.4,1.0,0.1,0.6,7.2,2002-01-01,2002
Michael Doleac,NYK,75,13.9,4.4,1.9,4.6,42.6,0.0,0.0,0.0,0.5,0.6,78.3,0.9,2.1,2.9,0.6,0.2,0.2,0.7,4.9,2002-01-01,2002
Moochie Norris,HOU,82,16.8,4.4,1.6,4.0,40.6,0.1,0.5,24.4,1.0,1.4,68.4,0.5,1.5,1.9,2.4,0.7,0.0,1.0,5.5,2002-01-01,2002
Sean Rooks,LAC,70,19.2,4.2,1.8,4.2,42.1,0.0,0.0,0.0,0.7,0.8,81.0,0.8,2.3,3.1,1.0,0.5,0.6,0.9,5.9,2002-01-01,2002
Kevin Willis,SAS,71,11.8,4.2,1.7,3.6,47.9,0.0,0.0,0.0,0.7,1.2,61.4,1.2,2.0,3.2,0.3,0.3,0.3,0.8,5.1,2002-01-01,2002
Trenton Hassell,CHI,82,24.4,4.2,1.8,4.8,36.7,0.2,0.5,32.5,0.5,0.7,74.5,0.5,2.7,3.1,1.8,0.5,0.7,1.0,6.2,2002-01-01,2002
Steve Kerr,SAS,75,12.7,4.0,1.5,3.4,43.0,0.7,1.7,39.5,0.4,0.5,88.2,0.2,0.6,0.8,0.9,0.4,0.0,0.5,3.7,2002-01-01,2002
Nikoloz Tskitishvili,DEN,81,16.3,3.9,1.4,4.9,29.3,0.5,1.9,24.3,0.6,0.8,73.8,0.8,1.4,2.2,1.1,0.4,0.4,1.0,3.3,2002-01-01,2002
Brian Shaw,LAL,72,12.5,3.5,1.4,3.6,38.7,0.5,1.5,34.9,0.1,0.2,66.7,0.3,1.4,1.7,1.4,0.4,0.2,0.8,4.1,2002-01-01,2002
Raja Bell,DAL,75,15.6,3.1,1.2,2.8,44.1,0.3,0.7,41.2,0.3,0.5,67.6,0.6,1.3,1.9,0.8,0.7,0.1,0.6,4.3,2002-01-01,2002
Stacey Augmon,NOH,70,12.3,3.0,1.1,2.7,41.1,0.0,0.1,0.0,0.8,1.0,75.0,0.4,1.3,1.7,1.0,0.4,0.1,0.6,3.8,2002-01-01,2002
Michael Curry,DET,78,19.9,3.0,1.2,2.9,40.2,0.2,0.7,29.6,0.5,0.6,80.0,0.2,1.4,1.6,1.3,0.6,0.1,0.6,4.2,2002-01-01,2002
Kareem Rush,LAL,76,11.5,3.0,1.3,3.2,39.3,0.3,0.9,27.9,0.2,0.3,69.6,0.3,0.9,1.2,0.9,0.1,0.1,0.8,2.5,2002-01-01,2002
Jeryl Sasser,ORL,75,13.7,2.6,0.9,2.8,30.9,0.2,0.6,29.5,0.7,1.0,67.9,0.9,1.6,2.5,0.9,0.6,0.2,0.5,3.9,2002-01-01,2002
Darvin Ham,ATL,75,12.3,2.4,0.9,2.1,44.7,0.0,0.0,0.0,0.5,1.1,48.1,1.0,1.1,2.0,0.5,0.2,0.3,0.9,2.8,2002-01-01,2002
Jeff Foster,IND,77,10.4,2.1,0.8,2.3,36.0,0.0,0.0,0.0,0.4,0.8,54.0,1.5,2.1,3.6,0.7,0.4,0.3,0.4,4.7,2002-01-01,2002
DeSagana Diop,CLE,80,11.8,1.5,0.7,1.9,35.1,0.0,0.0,0.0,0.1,0.4,36.7,0.8,1.9,2.7,0.5,0.4,1.0,0.7,4.0,2002-01-01,2002
Tracy McGrady,ORL,67,39.9,28.0,9.7,23.4,41.7,2.6,7.7,33.9,5.9,7.5,79.6,1.4,4.6,6.0,5.5,1.4,0.6,2.7,23.7,2003-01-01,2003
Peja Stojakovic,SAC,81,40.3,24.2,8.2,17.1,48.0,3.0,6.8,43.3,4.9,5.2,92.7,1.1,5.1,6.3,2.1,1.3,0.2,1.9,23.0,2003-01-01,2003
Kevin Garnett,MIN,82,39.4,24.2,9.8,19.6,49.9,0.1,0.5,25.6,4.5,5.7,79.1,3.0,10.9,13.9,5.0,1.5,2.2,2.6,33.1,2003-01-01,2003
Kobe Bryant,LAL,65,37.7,24.0,7.9,18.1,43.8,1.1,3.3,32.7,7.0,8.2,85.2,1.6,3.9,5.5,5.1,1.7,0.4,2.6,22.7,2003-01-01,2003
Paul Pierce,BOS,80,38.8,23.0,7.5,18.7,40.2,1.4,4.8,29.9,6.5,7.9,81.9,0.9,5.7,6.5,5.1,1.6,0.7,3.8,20.5,2003-01-01,2003
Baron Davis,NOH,67,40.1,22.9,8.3,20.9,39.5,2.8,8.7,32.1,3.5,5.3,67.3,1.0,3.3,4.3,7.5,2.4,0.4,3.2,19.8,2003-01-01,2003
Vince Carter,TOR,73,38.2,22.5,8.3,20.0,41.7,1.3,3.3,38.3,4.6,5.7,80.6,1.3,3.5,4.8,4.8,1.2,0.9,3.1,18.4,2003-01-01,2003
Tim Duncan,SAS,69,36.6,22.3,8.6,17.1,50.1,0.0,0.2,16.7,5.1,8.5,59.9,3.3,9.2,12.4,3.1,0.9,2.7,2.7,26.8,2003-01-01,2003
Dirk Nowitzki,DAL,77,37.8,21.8,7.9,17.0,46.2,1.3,3.8,34.1,4.8,5.5,87.7,1.2,7.5,8.7,2.7,1.2,1.4,1.8,24.2,2003-01-01,2003
Michael Redd,MIL,82,36.8,21.7,7.7,17.5,44.0,1.5,4.4,35.0,4.7,5.4,86.8,1.4,3.5,5.0,2.3,1.0,0.1,1.4,18.0,2003-01-01,2003
Shaquille O'Neal,LAL,67,36.8,21.5,8.3,14.1,58.4,0.0,0.0,0.0,4.9,10.1,49.0,3.7,7.8,11.5,2.9,0.5,2.5,2.9,24.9,2003-01-01,2003
Carmelo Anthony,DEN,82,36.5,21.0,7.6,17.9,42.6,0.8,2.6,32.2,5.0,6.4,77.7,2.2,3.8,6.1,2.8,1.2,0.5,3.0,16.9,2003-01-01,2003
LeBron James,CLE,79,39.5,20.9,7.9,18.9,41.7,0.8,2.7,29.0,4.4,5.8,75.4,1.3,4.2,5.5,5.9,1.6,0.7,3.5,18.8,2003-01-01,2003
Corey Maggette,LAC,73,36.0,20.7,6.2,13.9,44.7,1.0,3.2,32.9,7.2,8.5,84.8,1.3,4.6,5.9,3.1,0.9,0.2,2.8,18.9,2003-01-01,2003
